./docs/ext/docstrings.py,jinja2_autoescape_false,B701,HIGH,HIGH,https://cwe.mitre.org/data/definitions/94.html,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",37,14,58,"[37, 38]",https://bandit.readthedocs.io/en/1.7.6/plugins/b701_jinja2_autoescape_false.html
./tools/python_test.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '5iveL!fe',7,11,21,[7],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./tools/python_test.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,29,45,69,[29],https://bandit.readthedocs.io/en/1.7.6/plugins/b108_hardcoded_tmp_directory.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,0,43,[30],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,0,55,[32],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,0,45,[39],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,0,42,[48],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,0,36,[49],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,58,0,49,[58],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,62,0,25,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,0,36,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,65,0,56,[65],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,66,0,50,[66],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,4,16,[72],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,0,38,[76],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,0,38,[78],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,0,40,[82],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,0,40,[84],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,0,33,[88],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,92,0,37,[92],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,103,0,34,[103],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,0,39,[104],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,0,39,[115],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,0,39,[116],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,119,0,39,[119],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,124,0,56,[124],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,0,33,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,132,0,33,[132],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,142,0,35,[142],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,143,0,37,[143],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,0,45,[144],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,0,20,[149],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,150,0,20,[150],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,151,0,28,[151],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,169,0,44,[169],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,185,0,22,[185],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,186,0,39,[186],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,188,0,33,[188],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,191,0,28,[191],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,196,0,30,[196],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,198,0,42,[198],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,200,0,42,[200],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,205,0,45,[205],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,208,0,38,[208],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,210,0,33,[210],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,212,0,34,[212],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,217,0,49,[217],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,223,0,28,[223],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,230,0,45,[230],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,233,0,59,[233],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,234,0,59,[234],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,235,0,67,[235],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,236,0,44,[236],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,240,0,43,[240],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,243,0,51,[243],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,248,0,47,[248],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,254,0,48,[254],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,258,0,32,[258],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,281,0,37,[281],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,283,0,37,[283],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,300,0,20,[300],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,302,0,25,[302],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,309,0,30,[309],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,311,0,30,[311],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,313,0,45,[313],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,320,0,57,[320],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,328,0,30,[328],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,332,0,26,[332],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,339,0,40,[339],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,341,0,34,[341],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./tools/python_test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,343,0,36,[343],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
